127.0.0.1, 2015-12-11 14:18:46, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/default/index, HTTP/1.1, 200, 1.810000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-11 14:18:48, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-11 14:18:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-12-11 14:18:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-12-11 14:18:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-12-11 14:18:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-11 14:20:01, GET, /main, HTTP/1.1, 200, 0.993000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/css/calendar.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.051000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/js/calendar.js, HTTP/1.1, 200, 0.087000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/js/web2py.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/js/share.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/js/jquery.js, HTTP/1.1, 200, 0.150000
127.0.0.1, 2015-12-11 14:20:01, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-12-11 14:20:02, GET, /main/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-11 14:20:02, GET, /main/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-11 14:20:02, GET, /main/static/images/facebook.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-12-11 14:20:02, GET, /main/static/images/twitter.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-12-11 14:20:02, GET, /main/static/images/gplus-32.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-12-11 14:20:02, GET, /main/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
